Thought	Is Thought	Cognitive Distortion	Subcategory
I can't get anything right. 	Y	Making Guesses, Absolute	Overgeneraliation, Labeling
I just failed that class.	Y	Absolute, Making Guesses, Misperception	Labeling, Fortune Telling, Magnification
I should know how to be more careful about issues pertaining to money.	Y	Absolute	Shoulds and musts
I was thinking  "I just know I'm embarrassing myself"	Y	Absolute	Labeling
I'll never get a job. 	Y	Making Guesses, Making Guesses	 Fortune Telling, Overgeneralization
I'm not qualified. 	Y	Absolute	Labeling
I'm not good enough.	Y	Absolute	Labeling
anxious, get out of here. flight over took fight.	Emotion	-	-
I was scared that I was going to get into trouble or fired from my job	Y	Making Guesses	Fortune Telling
I saw them on the streets on the way to the concert.	Situation	-	-
 felt anxious already to see them because it had been a while.	Emotion	-	-
because I felt like they viewed me as having done something wrong	Y	Making Guesses	Mindreading
The management here sucks.	Y	Absolute	Black and White Thinking
I cant believe they don't care enough about  these people.	Y	Misperception, Making Guesses	Magnification, Mindreading
I'm going to have to put my foot down.	Y	Absolute	Shoulds and musts
I hope the student isn't upset with me.	Y	Making Guesses	Fortune Telling
 I hope that my coworker replies soon so the student doesn't yell at me.	Y	Making Guesses	Fortune Telling
I bet I failed it. 	Y	Absolute	Labeling
I'm so stupid.	Y	Absolute, Misperception	Labeling, Magnification
She must think I am a horrible mother.	Y	Making Guesses	Mindreading
This is going to cost me a lot of money! 	Y	Making Guesses	Fortune Telling
 I brought her over to visit after school	Situation	-	-
went back home a mess with no apology but he do not care as long as the kids did not bother him.	Y	Misperception, Making Guesses	Magnification, Mindreading
I don't think I will ever get over this.	Y	Making Guesses, Making Guesses	Fortune Telling, Overgeneralization
I don't think these people understand my presenation. 	Y	Making Guesses	Mindreading
We're going to lose everything!	Y	Making Guesses, Making Guesses	Fortune Telling, Overgeneralization
I felt helpless. 	Emotion	-	-
I thought "I'll never get another job.	Y	Making Guesses, Making Guesses	Fortune Telling, Overgeneralization
 I'm going to be homeless.	Y	Making Guesses	Fortune Telling
Why don't they respect me enough to just talk to me about issues?	Y	Misperception, Making Guesses	Magnification, Mindreading
I have nowhere else to go if my parents don't want me;	Y	Making Guesses	Fortune Telling
She must think that I am not good enough to have a faithful girlfriend	Y	Making Guesses	Mindreading
My parents are going to kill me.	Y	Making Guesses, Making Guesses	Mindreading, Fortune telling
I can't afford this	Y	Making Guesses	Fortune Telling
I should confront this idiot.	Y	Absolute	Shoulds and musts
I should show him the same disrespect he shows me and my wife.	Y	Absolute	Shoulds and musts
He is so upset and disappointed with me	Y	Making Guesses	Mindreading
I hope he doesn't fire me!	Y	Making Guesses, Making Guesses	Fortune Telling, Mindreading
I may really lose my job	Y	Making Guesses	Fortune Telling
I have no control over this.	Y	Absolute, Absolute	Labeling, Black and White Thinking
it's left in the hands of the state.	Situation	-	-
I am Dumb, idot, stupid	Y	Absolute	Labeling
My parents are going to kill me.	Y	Making Guesses, Making Guesses	Fortune Telling, Mindreading
She might not make it out.	Y	Making Guesses	Fortune Telling
I might lose my sister.	Y	Making Guesses	Fortune Telling
I want to make this work, but she doesn't seem to want to.	Y	Misperception, Making Guesses	Magnification, Mindreading
I can't do this anymore.  	Y	Absolute, Making Guesses	Labeling, Overgeneralization
I can't get it all done.	Y	Absolute, Making Guesses	Labeling, Overgeneralization
I want to yell and scream at my father.	Emotion	-	-
 I want to destroy the place so I can never return.	Emotion	-	-
maybe i should break this off before it gets any worse	Y	Absolute	Shoulds and musts
Is there another girl?	Situation	-	-
I'll never make it, 	Y	Making Guesses	Overgeneralization
I'll never be good enough	Y	Absolute, Making Guesses	Black and White Thinking,  Overgeneralization
I cannot take this test again,	Y	Misperception	Magnification
 I'll never do it	Y	Making Guesses	Overgeneralization
These men are going to kill my boyfriend.	Y	Making Guesses, Misperception	Fortune Telling, Magnification
 I and no one will care because we're gay.	Y	Absolute, Making Guesses	Black and White Thinking, Mindreading
everyone hates us	Y	Absolute, Making Guesses	Overgeneralization, Mindreading
I hope I didn't do/say something to upset her.	Y	Making Guesses	Mindreading
She doesn't seem as upset as I am?	Y	Misperception, Making Guesses	Magnification, Mindreading
so does she really like me still?	Y	Making Guesses	Mindreading
my exact thought was i feel like an idiot	Y	Absolute	Labeling
there is no time. 	Y	Absolute	Black and White Thinking
she must not love me any more	Y	Making Guesses	Mindreading
"I shouldn't have reacted like that."	Y	absolute	Shoulds and musts
She is going to get reamed for not noticing this.	Y	Making Guesses	Fortune Telling
 then shes going to kill me for not telling her.	Y	Making Guesses, Making Guesses	Fortune Telling, Mindreading
I can't believe this is happening to me	Y	Misperception	Magnification
My thoughts were that the right-wing financial bosses at the company's headquarters had ruined my career.	Y	Misperception	Magnification
 severely damaged my financial situation just to save few bucks.	Y	Misperception	Magnification
I am terrible at sales.	Y	Absolute	Labeling
We could die in a tornado. 	Y	Making Guesses	Fortune Telling
Everyone is way too close to me.	Y	Making Guesses	Overgeneralization
someone is always behind me	Y	Making Guesses	Overgeneralization
I am not a good wife.	Y	Absolute	Labeling
since my husband does not want to come home. 	Y	Making Guesses	Mindreading
I find myself saying, and saying it alot,"I hate my Life!"	Y	Absolute	Black and White Thinking
I'm gonna fail this test? 	Y	Making Guesses	Fortune Telling
 I really hate this class.	Y	Absolute	Black and White Thinking
